record_id,drug_a_name,drug_b_name,drug_a_rxcui,drug_b_rxcui,condition_name,condition_id,severity,prr,frequency,source
TS-00000001,aspirin,ibuprofen,1191,5640,gastrointestinal hemorrhage,10017955,Major,12.4,0.0421,TWOSIDES
TS-00000002,aspirin,warfarin,1191,11289,hemorrhage,10019016,Major,18.7,0.0612,TWOSIDES
TS-00000003,aspirin,omeprazole,1191,7646,reduced antiplatelet effect,10036807,Moderate,4.8,0.0123,TWOSIDES
TS-00000004,aspirin,sertraline,1191,36437,gastrointestinal bleeding,10017947,Moderate,6.2,0.0289,TWOSIDES
TS-00000005,aspirin,clopidogrel,1191,32968,bleeding,10005103,Moderate,5.1,0.0334,TWOSIDES
TS-00000006,lisinopril,spironolactone,29046,9997,hyperkalemia,10020646,Major,14.2,0.0551,TWOSIDES
TS-00000007,lisinopril,ibuprofen,29046,5640,acute kidney injury,10069339,Moderate,5.9,0.0198,TWOSIDES
TS-00000008,lisinopril,spironolactone,29046,9997,renal failure,10038435,Moderate,7.8,0.0221,TWOSIDES
TS-00000009,warfarin,ibuprofen,11289,5640,hemorrhage,10019016,Major,15.6,0.0489,TWOSIDES
TS-00000010,warfarin,amiodarone,11289,703,prolonged prothrombin time,10037016,Major,11.2,0.0401,TWOSIDES
TS-00000011,warfarin,amiodarone,11289,703,bleeding,10005103,Major,13.8,0.0512,TWOSIDES
TS-00000012,warfarin,trimethoprim,11289,10829,international normalised ratio increased,10022604,Major,10.3,0.0312,TWOSIDES
TS-00000013,warfarin,sertraline,11289,36437,bleeding risk,10005103,Moderate,4.2,0.0156,TWOSIDES
TS-00000014,amiodarone,digoxin,703,3407,digoxin toxicity,10013109,Major,22.1,0.0789,TWOSIDES
TS-00000015,amiodarone,simvastatin,703,36567,rhabdomyolysis,10039020,Major,16.4,0.0623,TWOSIDES
TS-00000016,amiodarone,ciprofloxacin,703,2551,QT prolongation,10014695,Major,11.8,0.0445,TWOSIDES
TS-00000017,clopidogrel,omeprazole,32968,7646,reduced antiplatelet effect,10036807,Moderate,7.2,0.0198,TWOSIDES
TS-00000018,sertraline,phenelzine,36437,8123,serotonin syndrome,10040108,Major,45.8,0.1123,TWOSIDES
