name_lower,generic_name,rxcui,drugbank_id
lisinopril,lisinopril,29046,DB00722
prinivil,lisinopril,29046,DB00722
zestril,lisinopril,29046,DB00722
spironolactone,spironolactone,9997,DB00421
aldactone,spironolactone,9997,DB00421
metformin,metformin,6809,DB00331
glucophage,metformin,6809,DB00331
atorvastatin,atorvastatin,83367,DB01076
lipitor,atorvastatin,83367,DB01076
aspirin,aspirin,1191,DB00945
bayer,aspirin,1191,DB00945
acetylsalicylic acid,aspirin,1191,DB00945
omeprazole,omeprazole,7646,DB00338
prilosec,omeprazole,7646,DB00338
sertraline,sertraline,36437,DB01104
zoloft,sertraline,36437,DB01104
amlodipine,amlodipine,17767,DB00381
norvasc,amlodipine,17767,DB00381
ibuprofen,ibuprofen,5640,DB01050
motrin,ibuprofen,5640,DB01050
advil,ibuprofen,5640,DB01050
warfarin,warfarin,11289,DB00682
coumadin,warfarin,11289,DB00682
clopidogrel,clopidogrel,32968,DB00758
plavix,clopidogrel,32968,DB00758
metoprolol,metoprolol,6918,DB00264
lopressor,metoprolol,6918,DB00264
toprol,metoprolol,6918,DB00264
digoxin,digoxin,3407,DB00390
amiodarone,amiodarone,703,DB01118
simvastatin,simvastatin,36567,DB00641
zocor,simvastatin,36567,DB00641
clarithromycin,clarithromycin,21212,DB01211
biaxin,clarithromycin,21212,DB01211
ciprofloxacin,ciprofloxacin,2551,DB00537
cipro,ciprofloxacin,2551,DB00537
levothyroxine,levothyroxine,10582,DB00451
synthroid,levothyroxine,10582,DB00451
phenelzine,phenelzine,8123,DB00780
nardil,phenelzine,8123,DB00780
alprazolam,alprazolam,596,DB00404
xanax,alprazolam,596,DB00404
oxycodone,oxycodone,7804,DB00497
oxycontin,oxycodone,7804,DB00497
tramadol,tramadol,10689,DB00193
ultram,tramadol,10689,DB00193
furosemide,furosemide,4603,DB00695
lasix,furosemide,4603,DB00695
methotrexate,methotrexate,6851,DB00563
theophylline,theophylline,10466,DB00277
fluoxetine,fluoxetine,4493,DB00472
prozac,fluoxetine,4493,DB00472
paroxetine,paroxetine,32937,DB00715
paxil,paroxetine,32937,DB00715
lithium,lithium carbonate,42351,DB01356
hydrochlorothiazide,hydrochlorothiazide,5487,DB00999
haloperidol,haloperidol,5093,DB00502
quetiapine,quetiapine,119663,DB01224
zolpidem,zolpidem,39786,DB00425
trazodone,trazodone,10737,DB00656
valproic acid,valproic acid,11118,DB00313
carvedilol,carvedilol,20352,DB01136
trimethoprim,trimethoprim,10829,DB00440
verapamil,verapamil,11170,DB00661
gemfibrozil,gemfibrozil,4719,DB01241
insulin,insulin,5856,DB00030
prednisone,prednisone,8640,DB00635
azithromycin,azithromycin,18631,DB00207
sotalol,sotalol,37798,DB00489
calcium carbonate,calcium carbonate,1897,DB06724
rifampin,rifampin,9384,DB01045
ethinyl estradiol,ethinyl estradiol,4124,DB00977
ritonavir,ritonavir,85762,DB00503
tamoxifen,tamoxifen,10324,DB00675
duloxetine,duloxetine,72625,DB00476
gabapentin,gabapentin,25480,DB00996
acetaminophen,acetaminophen,161,DB00316
tylenol,acetaminophen,161,DB00316
albuterol,albuterol,435,DB01001
propranolol,propranolol,8787,DB00571
ferrous sulfate,ferrous sulfate,4490,DB13257
